listing_id,building_name,full_address,street,city,state,zip,lat,lon,dist_to_campus_km,unit_label,beds,baths,sqft,rent_raw,rent_min,rent_max,price_type,is_per_bed,is_shared_bedroom,year_built,num_units,building_type,stories,has_in_unit_laundry,has_on_site_laundry,has_dishwasher,has_ac,has_heat_included,has_water_included,has_internet_included,is_furnished,has_gym,has_pool,has_rooftop_or_clubroom,has_parking_available,has_garage,pets_allowed,is_student_branded,available_date,lease_term,property_manager,scrape_date,source_url
umn_26288,"Cole Townhomes Housing Cooperative 2457-2647 Cole Ave SE, Minneapolis, MN 55414, USA         3 Bed  closeclose 111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111","2647 Cole Ave SE, Minneapolis, MN 55414",2647 Cole Ave SE,Minneapolis,MN,55414,44.984726,-93.216559,2.0,,3.0,,,$2199,2199.0,2199.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.730926,#
umn_71324,"325 9th St. SE 325 SE 9th StMinneapolis, MN 55414         3 Bed   1","325 9th St. SE 325 SE 9th St, Minneapolis, MN 55414",325 9th St. SE 325 SE 9th St,Minneapolis,MN,55414,,,,,3.0,1.0,,$1350,1350.0,1350.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.781586,#
umn_26284,"Marcy Park Student Housing Co-op 700 10th Ave SE/1000 8th St SE, Minneapolis, MN 55414, USA         S - 1 Bed  closeclose 111111111111111111111111111111111111111111111111111111111","700 10th Ave SE/1000 8th St SE, Minneapolis, MN 55414",700 10th Ave SE/1000 8th St SE,Minneapolis,MN,55414,,,,,1.0,,,$838,838.0,838.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.798165,#
umn_96574,"Fieldhouse 805 15th Ave SE, Minneapolis, MN 55414         1 - 5 Bed  closeclose 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111","805 15th Ave SE, Minneapolis, MN 55414",805 15th Ave SE,Minneapolis,MN,55414,44.9846045,-93.2319896,1.32,,1.0,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.817604,#
umn_233759,"1019 20th Ave SE 1019 20th Ave SE, Minneapolis, MN 55414, USA         5 Bed  closeclose 11111111111111111111111111111","1019 20th Ave SE 1019 20th Ave SE, Minneapolis, MN 55414",1019 20th Ave SE 1019 20th Ave SE,Minneapolis,MN,55414,,,,,5.0,,,$2950,2950.0,2950.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.835397,#
umn_9588,"1201 8th Street SE - 2025 Fall Special - ALL UTILITIES PAID 1201 SE 8th StMinneapolis, MN 55414         5 Bed   1","1201 8th Street SE - 2025 Fall Special - ALL UTILITIES PAID 1201 SE 8th St, Minneapolis, MN 55414",1201 8th Street SE - 2025 Fall Special - ALL UTILITIES PAID 1201 SE 8th St,Minneapolis,MN,55414,,,,,5.0,,,$3250,3250.0,3250.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.854013,#
umn_71325,"509 8th Ave SE 509 SE 8th AveMinneapolis, MN 55414         2 - 3 Bed  closeclose 1111111111111111111","509 8th Ave SE 509 SE 8th Ave, Minneapolis, MN 55414",509 8th Ave SE 509 SE 8th Ave,Minneapolis,MN,55414,,,,,2.0,1.0,,$1275,1275.0,1275.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.871211,#
umn_108415,"Urban Canopies LLC 1074 14th Ave SE, Minneapolis, MN 55414, USA         4 Bed  closeclose 111111111111111111111","1074 14th Ave SE, Minneapolis, MN 55414",1074 14th Ave SE,Minneapolis,MN,55414,44.9901299,-93.2317642,1.92,,4.0,,,$2600,2600.0,2600.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.935385,#
umn_58512,"327 SE 9th St Minneapolis, MN 55414 327 SE 9th St Minneapolis, MN 55414         3 Bed   1","327 SE 9th St, Minneapolis, MN 55414",327 SE 9th St,Minneapolis,MN,55414,44.9910963,-93.2464823,2.17,,3.0,1.0,,$1350,1350.0,1350.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.953411,#
umn_108646,"1069 23rd Ave SEMinneapolis, MN 55414 1069 23rd Ave SEMinneapolis, MN 55414         2 - 3 Bed  closeclose 11111111111111111111111","1069 23rd Ave SE, Minneapolis, MN 55414",1069 23rd Ave SE,Minneapolis,MN,55414,44.9901773,-93.2205264,2.25,,2.0,1.0,,$1150,1150.0,1150.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.971193,#
