listing_id,building_name,full_address,street,city,state,zip,lat,lon,dist_to_campus_km,unit_label,beds,baths,sqft,rent_raw,rent_min,rent_max,price_type,is_per_bed,is_shared_bedroom,year_built,num_units,building_type,stories,has_in_unit_laundry,has_on_site_laundry,has_dishwasher,has_ac,has_heat_included,has_water_included,has_internet_included,is_furnished,has_gym,has_pool,has_rooftop_or_clubroom,has_parking_available,has_garage,pets_allowed,is_student_branded,scrape_date,source_url
sgfjc95-4.0bed,Marshall Suites Furnished Luxury Apartments,"1975-1977 Marshall Ave, Saint Paul, MN 55104
Property Website, St Paul, MN",1975-1977 Marshall Ave,Saint Paul,MN,55104,44.948549,-93.1415204,7.91,,4.0,2.0,1000,"$2,975",2975.0,2975.0,per_bed,True,,,,,,True,True,True,True,False,False,False,True,True,False,False,True,True,True,True,2025-11-28T01:13:17.187312,https://www.apartments.com/marshall-suites-furnished-luxury-apartments-saint-paul-mn/sgfjc95/
zy7ff7w-1.0bed,Red 20 Apartments,"20 6th St NE, Minneapolis, MN 55413
Property Website",20 6th St NE,Minneapolis,MN,55413,44.9899963,-93.252599,2.29,,1.0,1.0,736,"$1,694",1694.0,1694.0,per_unit,False,,,,,,True,False,False,True,False,False,False,True,True,True,True,True,False,True,True,2025-11-28T02:17:23.394449,https://www.apartments.com/red-20-apartments-minneapolis-mn/zy7ff7w/
zy7ff7w-0bed,Red 20 Apartments,"20 6th St NE, Minneapolis, MN 55413
Property Website",20 6th St NE,Minneapolis,MN,55413,44.9899963,-93.252599,2.29,,0.0,1.0,477,"$1,536",1536.0,1536.0,per_unit,False,,,,,,True,False,False,True,False,False,False,True,True,True,True,True,False,True,True,2025-11-28T02:17:23.375906,https://www.apartments.com/red-20-apartments-minneapolis-mn/zy7ff7w/
dd2cyhl-1.0bed,Haverhill Apartments,"32-34 Spruce Pl, Minneapolis, MN 55403",32-34 Spruce Pl,Minneapolis,MN,55403,44.9732042,-93.2826196,3.68,,1.0,1.0,770,$782,782.0,782.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,2025-11-28T04:39:12.139926,https://www.apartments.com/haverhill-apartments-minneapolis-mn/dd2cyhl/
dd2cyhl-0bed,Haverhill Apartments,"32-34 Spruce Pl, Minneapolis, MN 55403",32-34 Spruce Pl,Minneapolis,MN,55403,44.9732042,-93.2826196,3.68,,0.0,1.0,435,$782,782.0,782.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,2025-11-28T04:39:12.133943,https://www.apartments.com/haverhill-apartments-minneapolis-mn/dd2cyhl/
1nclle6-0bed,2426 Blaisdell,"2426 Blaisdell Ave, Minneapolis, MN 55404",2426 Blaisdell Ave,Minneapolis,MN,55404,44.9581024,-93.280068,3.85,,0.0,1.0,400,$849,849.0,849.0,per_unit,False,,,,,,True,True,True,True,False,False,False,True,False,False,True,True,True,True,True,2025-11-28T07:09:41.286510,https://www.apartments.com/2426-blaisdell-minneapolis-mn/1nclle6/
hkh3jg2-1.0bed,Silver Lake,"2310 Silver Ln, New Brighton, MN 55112
Leasing Office: 2310 Silver Ln NE, Saint Anthony, MN 55421
Property Website, Minneapolis, MN",2310 Silver Ln,New Brighton,MN,55112,45.0429781,-93.2154339,7.93,,1.0,1.0,660,"$1,189",1189.0,1189.0,per_unit,False,,,,,,True,True,True,True,False,False,False,False,False,True,False,True,False,True,True,2025-11-28T11:19:51.847171,https://www.apartments.com/silver-lake-new-brighton-mn/hkh3jg2/
hkh3jg2-2.0bed,Silver Lake,"2310 Silver Ln, New Brighton, MN 55112
Leasing Office: 2310 Silver Ln NE, Saint Anthony, MN 55421
Property Website, Minneapolis, MN",2310 Silver Ln,New Brighton,MN,55112,45.0429781,-93.2154339,7.93,,2.0,1.0,900,"$1,434",1434.0,1434.0,per_unit,False,,,,,,True,True,True,True,False,False,False,False,False,True,False,True,False,True,True,2025-11-28T11:19:51.853935,https://www.apartments.com/silver-lake-new-brighton-mn/hkh3jg2/
9fzg976-1.0bed,Windsor South Apartments,"2280 Silver Ln NE, New Brighton, MN 55112
Property Website, Minneapolis, MN",2280 Silver Ln NE,New Brighton,MN,55112,45.0429844,-93.2146977,7.95,,1.0,1.0,734,"$1,194",1194.0,1194.0,per_unit,False,,,,,,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,2025-11-28T11:23:19.242462,https://www.apartments.com/windsor-south-apartments-new-brighton-mn/9fzg976/
9fzg976-2.0bed,Windsor South Apartments,"2280 Silver Ln NE, New Brighton, MN 55112
Property Website, Minneapolis, MN",2280 Silver Ln NE,New Brighton,MN,55112,45.0429844,-93.2146977,7.95,,2.0,1.0,920,"$1,509",1509.0,1509.0,per_unit,False,,,,,,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,2025-11-28T11:23:19.246392,https://www.apartments.com/windsor-south-apartments-new-brighton-mn/9fzg976/
dgqlf9j-1.0bed,Granite Falls at Silver Lake-2130,"2130 County Road E W, New Brighton, MN 55112
Property Website, Minneapolis, MN",2130 County Road E W,New Brighton,MN,55112,45.0504664,-93.2151841,8.76,,1.0,1.0,600,"$1,149",1149.0,1149.0,per_unit,False,,,,,,True,False,True,True,False,False,False,False,True,False,False,True,False,True,True,2025-11-28T11:25:21.899746,https://www.apartments.com/granite-falls-at-silver-lake-2130-new-brighton-mn/dgqlf9j/
dgqlf9j-2.0bed,Granite Falls at Silver Lake-2130,"2130 County Road E W, New Brighton, MN 55112
Property Website, Minneapolis, MN",2130 County Road E W,New Brighton,MN,55112,45.0504664,-93.2151841,8.76,,2.0,1.0,950,"$1,399",1399.0,1399.0,per_unit,False,,,,,,True,False,True,True,False,False,False,False,True,False,False,True,False,True,True,2025-11-28T11:25:21.903409,https://www.apartments.com/granite-falls-at-silver-lake-2130-new-brighton-mn/dgqlf9j/
16bhv95-0bed,2121 Hennepin Ave S,"2121 Hennepin Ave, Minneapolis, MN 55405
Property Website",2121 Hennepin Ave,Minneapolis,MN,55405,44.9611248,-93.2774664,3.53,,0.0,1.0,400,"$1,050",1050.0,1050.0,per_unit,False,,,,,,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-28T13:02:30.064455,https://www.apartments.com/2121-hennepin-ave-s-minneapolis-mn/16bhv95/
